,block_size,time,cr,cr_zip,mean_error
0,2,66.81291317939758,3.068095000706573,8.229772384947282,0.019534520462837185
1,4,42.312979221343994,3.530671361353278,8.253262035017707,0.01511568577819269
2,6,32.39841341972351,3.084731951320609,7.030180303204197,0.013418874441111972
3,8,30.04234766960144,2.741835448654774,6.217028838503925,0.0121903689006344
4,10,26.081827878952026,2.5351769647031857,5.738843546603389,0.011337753612187957
5,12,25.296791791915894,2.3992736723477934,5.432807575004633,0.010707544571912567
6,14,24.417948722839355,2.317525109440575,5.248453880479348,0.01023700347255537
7,16,23.78659415245056,2.250750021608938,5.099769322113593,0.009856776369709124
8,18,24.87044882774353,2.2218917431598935,5.0372146182081154,0.009608252836337754
9,20,24.195852994918823,2.183475613779571,4.952330425592613,0.009328885353564248
10,22,26.78078031539917,2.180174961462447,4.9461911315851745,0.0091521049400279
11,24,26.63107204437256,2.1607332282326532,4.90379251818249,0.00891854156567408
12,26,29.188724279403687,2.1616162580274105,4.907203409625154,0.00874309890811188
13,28,30.584545612335205,2.173785529996778,4.935909497083605,0.008606298713763665
14,30,31.21613907814026,2.174466821904885,4.93985153339318,0.00851273241452064
15,40,36.351216554641724,2.229640604065096,5.067911887305623,0.00791887411578584
16,60,52.79600214958191,2.4290151491222813,5.52665072922954,0.007161395153402104
17,80,69.55442547798157,2.586913123031168,5.89206820287673,0.006621814000576742
18,100,86.68414545059204,2.8739413295109606,6.549756548359597,0.006303601146583959
19,120,101.25733947753906,3.4828594264865336,7.940464645002533,0.006179352434100037
20,140,111.15900731086731,3.714180198904983,8.471141069952973,0.005677956601293548
21,160,147.24612975120544,4.177779112894149,9.528522633098351,0.005664219394192729
22,180,102.07719540596008,5.241319676673482,11.958049122650644,0.005180153805304834
